generations,merchants,distance
390,75,205399.76724508026
400,75,205392.2280445131
410,75,205528.6482833119
420,75,205417.46883107966
430,75,205329.12880314325
440,75,205355.88830301093
450,75,205440.46250465102
460,75,205429.93220054073
470,75,205340.2481694536
480,75,205378.62366821888
490,75,205400.80243007853
500,75,205373.14319853048
510,75,205401.36800406
520,75,205376.74165307704
530,75,205390.0371278289
540,75,205423.94762525934
550,75,205399.68209561767
560,75,205419.1880414917
570,75,205449.70689982676
580,75,205452.05694011695
590,75,205442.90394386044
600,75,205390.66589129416
610,75,205312.28964418772
620,75,205466.436218085
630,75,205449.21696374245
640,75,205396.77164164212
650,75,205404.85397242662
660,75,205328.62076997277
670,75,205364.13365776945
680,75,205379.19946281504
690,75,205386.22188623087
700,75,205429.2002730086
710,75,205367.9217785604
720,75,205345.2385285016
730,75,205407.0416116555
740,75,205404.10851214535
750,75,205401.90955982692
760,75,205533.1275489499
770,75,205400.20576222902
780,75,205417.76805203938
790,75,205396.75692638915
800,75,205361.53681624724
810,75,205369.9096971892
820,75,205451.03556516633
830,75,205491.59481224196
840,75,205427.85135665076
850,75,205488.56409679615
860,75,205397.55874191257
870,75,205335.18970059603
880,75,205500.8500255283
890,75,205365.925959735
900,75,205314.73407310643
910,75,205518.6828359621
920,75,205419.01970669124
930,75,205376.50216369404
940,75,205377.09414695087
950,75,205359.21882407842
960,75,205449.4504786261
970,75,205504.1175263337
980,75,205376.91495254054
990,75,205440.11591789342
1000,75,205452.3632647554
10,100,205401.8295499298
20,100,205412.9845597037
30,100,205405.88053283776
40,100,205444.27968964336
50,100,205369.23177583842
60,100,205378.71131645062
70,100,205434.30524238118
80,100,205372.45885137058
90,100,205425.92235542752
100,100,205422.42629552315
110,100,205436.54753141702
120,100,205373.18246432906
130,100,205427.84869458928
140,100,205444.03543444938
150,100,205395.0306502411
160,100,205472.54439407575
170,100,205466.95606151543
180,100,205446.67855799914
190,100,205365.9538783559
200,100,205333.05754689642
210,100,205415.65340017749
220,100,205360.14134145458
230,100,205365.19091841226
240,100,205428.96435649498
250,100,205427.36885791222
260,100,205370.73997401865
270,100,205405.14327665287
280,100,205513.69654149955
290,100,205441.58967349018
300,100,205358.75599143672
310,100,205454.17148566913
320,100,205366.69570904574
330,100,205394.4951043756
340,100,205406.70926578293
350,100,205458.21333277394
360,100,205418.88232694365
370,100,205421.38027025928
380,100,205408.54013569784
390,100,205427.89952733563
400,100,205421.16757727426
410,100,205437.11099577276
420,100,205437.11410309226
430,100,205433.85593772566
440,100,205440.7246104175
450,100,205387.03385097967
460,100,205399.98945239585
470,100,205429.8837049605
480,100,205391.4223592755
490,100,205443.74707512607
500,100,205391.51626432146
510,100,205391.524424307
520,100,205426.54016375652
530,100,205429.38274765757
540,100,205464.34046296412
550,100,205388.4347456237
560,100,205403.11559448842
570,100,205454.18031067797
580,100,205359.18685391225
590,100,205410.98088059778
600,100,205518.19180689895
610,100,205454.18058038922
620,100,205523.91342147958
630,100,205441.3281091558
640,100,205395.01928270748
650,100,205450.6902365888
660,100,205469.54287832166
670,100,205368.75915393853
680,100,205365.75268108462
690,100,205486.6498777001
700,100,205455.03590896435
710,100,205366.14784424467
720,100,205395.74812418985
730,100,205562.67938369067
740,100,205389.9757124669
750,100,205408.39604808134
760,100,205388.452895791
770,100,205478.62674040857
780,100,205492.2016521332
790,100,205440.46376379344
800,100,205394.733352512
810,100,205487.85026412297
820,100,205450.1500481709
830,100,205380.8973279582
840,100,205433.6608012211
850,100,205362.73809326475
860,100,205421.90983581773
870,100,205426.8450248481
880,100,205375.47871957233
890,100,205367.56435676114
900,100,205371.31472445527
910,100,205356.6253107414
920,100,205470.80251417903
930,100,205464.76279465022
940,100,205441.96872670695
950,100,205443.6818878091
960,100,205425.02751831748
970,100,205456.1013257991
980,100,205514.54082275773
990,100,205436.97264096868
1000,100,205422.42924662924
