generations,merchants,distance
970,50,205431.7213528888
980,50,205398.80451709317
990,50,205410.95492037575
1000,50,205414.0271172142
10,100,205420.6971838079
20,100,205409.48584281758
30,100,205429.53544030956
40,100,205397.3819759322
50,100,205370.59501871487
60,100,205451.9453204256
70,100,205392.74977186712
80,100,205413.21661058482
90,100,205398.9016877205
100,100,205467.76690746835
110,100,205358.67520460804
120,100,205400.27547722048
130,100,205402.7456179848
140,100,205374.76178983398
150,100,205600.0208028881
160,100,205463.80473602214
170,100,205491.04714342902
180,100,205415.2485821094
190,100,205572.27077268928
200,100,205476.72748367803
210,100,205458.73339948495
220,100,205349.86915237358
230,100,205377.74653661434
240,100,205411.75702030212
250,100,205380.9082855753
260,100,205466.45778766563
270,100,205409.59392469094
280,100,205420.30819996409
290,100,205340.84785663977
300,100,205377.70288149893
310,100,205426.3605239965
320,100,205356.7869510928
330,100,205380.19705436044
340,100,205426.9565912335
350,100,205450.636567551
360,100,205399.66296436588
370,100,205328.25931381827
380,100,205401.5994563963
390,100,205467.595202165
400,100,205396.17038282836
410,100,205453.47142454894
420,100,205471.43871909718
430,100,205411.94430272153
440,100,205458.38291173667
450,100,205351.34815725632
460,100,205374.91097660322
470,100,205404.05202034803
480,100,205370.12451525545
490,100,205368.15491852298
500,100,205528.07227967345
510,100,205462.21585034826
520,100,205403.2290150971
530,100,205470.50260425181
540,100,205414.62935581832
550,100,205463.8897372408
560,100,205390.89655980695
570,100,205418.87281644138
580,100,205352.7947221777
590,100,205381.5756886397
600,100,205436.0641758347
610,100,205390.9053405082
620,100,205356.51745245093
630,100,205370.7163547344
640,100,205397.01977743296
650,100,205408.8066057782
660,100,205409.5174009827
670,100,205351.74954740025
680,100,205392.14952557138
690,100,205369.1105005229
700,100,205422.2777366723
710,100,205432.23294259715
720,100,205385.9420458739
730,100,205376.57291497028
740,100,205381.73109672527
750,100,205404.10630590247
760,100,205396.7368982724
770,100,205412.20975705888
780,100,205371.59804842717
790,100,205422.90923561162
800,100,205415.43147927447
810,100,205476.329736821
820,100,205349.6401266269
830,100,205421.8280542482
840,100,205457.2505608774
850,100,205394.2139645935
860,100,205333.64487847907
870,100,205415.0894065779
880,100,205432.7541172299
890,100,205451.92465403717
900,100,205401.3043006643
910,100,205453.82169770947
920,100,205385.4308631506
930,100,205374.05058704576
940,100,205391.414381008
950,100,205371.9903725997
960,100,205463.6703852002
970,100,205371.0582102864
980,100,205391.00734034055
990,100,205413.75746012508
1000,100,205378.01441752817
